district_name,week_end_sunday,imd_weekly_rainfall_mm
Bagalkot,2017-07-30,2.0269734578000174
Bagalkot,2017-08-06,2.5798000022768974
Bagalkot,2017-08-13,10.244049085511103
Bagalkot,2017-08-20,14.936908738480675
Bagalkot,2017-08-27,14.502053116758665
Bagalkot,2017-09-03,14.486200150516298
Bagalkot,2017-09-10,81.60945583217674
Bagalkot,2017-09-17,49.89956900974114
Bagalkot,2017-09-24,10.877369556162094
Bagalkot,2017-10-01,87.59370230635007
Bagalkot,2017-10-08,32.19647104541461
Bagalkot,2017-10-15,86.79510192241933
Bagalkot,2017-10-22,22.089104255040485
Bagalkot,2017-10-29,5.817802664306429
Bagalkot,2017-11-05,0.0
Bagalkot,2017-11-12,0.0
Bagalkot,2017-11-19,0.0
Bagalkot,2017-11-26,1.4178558190663655
Bagalkot,2017-12-03,0.0
Bagalkot,2017-12-10,0.5924724572234683
Bagalkot,2017-12-17,0.0
Bagalkot,2017-12-24,0.0
Bagalkot,2017-12-31,0.0
Bagalkot,2018-01-07,0.0
Bagalkot,2018-01-14,0.0
Bagalkot,2018-01-21,0.0
Bagalkot,2018-01-28,0.0
Bagalkot,2018-02-04,0.0
Bagalkot,2018-02-11,0.0
Bagalkot,2018-02-18,0.0
Bagalkot,2018-02-25,0.0
Bagalkot,2018-03-04,0.0
Bagalkot,2018-03-11,0.0
Bagalkot,2018-03-18,0.0
Bagalkot,2018-03-25,0.0
Bagalkot,2018-04-01,0.0
Bagalkot,2018-04-08,0.0
Bagalkot,2018-04-15,0.0
Bagalkot,2018-04-22,0.0
Bagalkot,2018-04-29,0.0
Bagalkot,2018-05-06,0.0
Bagalkot,2018-05-13,0.0
Bagalkot,2018-05-20,0.0
Bagalkot,2018-05-27,0.0
Bagalkot,2018-06-03,0.0
Bagalkot,2018-06-10,0.0
Bagalkot,2018-06-17,0.0
Bagalkot,2018-06-24,0.0
Bagalkot,2018-07-01,0.0
Bagalkot,2018-07-08,0.0
Bagalkot,2018-07-15,0.0
Bagalkot,2018-07-22,0.0
Bagalkot,2018-07-29,0.0
Bagalkot,2018-08-05,0.0
Bagalkot,2018-08-12,0.0
Bagalkot,2018-08-19,0.0
Bagalkot,2018-08-26,0.0
Bagalkot,2018-09-02,0.0
Bagalkot,2018-09-09,0.0
Bagalkot,2018-09-16,0.0
Bagalkot,2018-09-23,0.0
Bagalkot,2018-09-30,0.0
Bagalkot,2018-10-07,0.0
Bagalkot,2018-10-14,0.0
Bagalkot,2018-10-21,0.0
Bagalkot,2018-10-28,0.0
Bagalkot,2018-11-04,0.0
Bagalkot,2018-11-11,0.0
Bagalkot,2018-11-18,0.0
Bagalkot,2018-11-25,0.0
Bagalkot,2018-12-02,0.0
Bagalkot,2018-12-09,0.0
Bagalkot,2018-12-16,0.0
Bagalkot,2018-12-23,0.0
Bagalkot,2018-12-30,0.0
Bagalkot,2019-01-06,0.0
Bagalkot,2019-01-13,0.0
Bagalkot,2019-01-20,0.0
Bagalkot,2019-01-27,0.0
Bagalkot,2019-02-03,0.2079776922861735
Bagalkot,2019-02-10,0.0
Bagalkot,2019-02-17,0.0
Bagalkot,2019-02-24,0.0
Bagalkot,2019-03-03,0.0
Bagalkot,2019-03-10,0.0
Bagalkot,2019-03-17,0.0
Bagalkot,2019-03-24,0.0
Bagalkot,2019-03-31,0.5393509268760681
Bagalkot,2019-04-07,20.63315855132209
Bagalkot,2019-04-14,1.8876769840717316
Bagalkot,2019-04-21,0.13072800801859963
Bagalkot,2019-04-28,0.5481657832860947
Bagalkot,2019-05-05,1.4440328892734315
Bagalkot,2019-05-12,0.0
Bagalkot,2019-05-19,0.0
Bagalkot,2019-05-26,35.61927432484097
Bagalkot,2019-06-02,2.010786826411883
Bagalkot,2019-06-09,48.407042652368546
Bagalkot,2019-06-16,13.168378923502233
Bagalkot,2019-06-23,9.233984579642613
Bagalkot,2019-06-30,42.88446908526951
Bagalkot,2019-07-07,12.239937295516333
Bagalkot,2019-07-14,4.1216872707009315
Bagalkot,2019-07-21,32.77134256313245
Bagalkot,2019-07-28,16.54748143752416
Bagalkot,2019-08-04,27.26754915714264
Bagalkot,2019-08-11,28.41791537321276
Bagalkot,2019-08-18,5.045837055477832
Bagalkot,2019-08-25,11.80370300842656
Bagalkot,2019-09-01,2.831880566146639
Bagalkot,2019-09-08,11.305894376503097
Bagalkot,2019-09-15,0.9780905412303077
Bagalkot,2019-09-22,43.52847489880191
Bagalkot,2019-09-29,90.23709021343124
Bagalkot,2019-10-06,45.005994598070785
Bagalkot,2019-10-13,59.72107660604847
Bagalkot,2019-10-20,39.793789583775734
Bagalkot,2019-10-27,82.45848019835022
Bagalkot,2019-11-03,21.02519300331672
Bagalkot,2019-11-10,24.9591543243991
Bagalkot,2019-11-17,0.0
Bagalkot,2019-11-24,0.0
Bagalkot,2019-12-01,0.0
Bagalkot,2019-12-08,1.7832359539137947
Bagalkot,2019-12-15,0.0
Bagalkot,2019-12-22,0.0
Bagalkot,2019-12-29,0.0
Bagalkot,2020-01-05,0.9907639424006144
Bagalkot,2020-01-12,0.0
Bagalkot,2020-01-19,0.0
Bagalkot,2020-01-26,0.0
Bagalkot,2020-02-02,0.0
Bagalkot,2020-02-09,0.0
Bagalkot,2020-02-16,0.0
Bagalkot,2020-02-23,0.0
Bagalkot,2020-03-01,0.0
Bagalkot,2020-03-08,4.1894188324610395
Bagalkot,2020-03-15,0.0
Bagalkot,2020-03-22,0.9438576069143083
Bagalkot,2020-03-29,1.3234990437825522
Bagalkot,2020-04-05,0.16160865790314144
Bagalkot,2020-04-12,10.434739326437315
Bagalkot,2020-04-19,10.178414061665535
Bagalkot,2020-04-26,2.829203668567869
Bagalkot,2020-05-03,7.927865370280212
Bagalkot,2020-05-10,7.016422313948473
Bagalkot,2020-05-17,23.0285926974482
Bagalkot,2020-05-24,6.878203474813037
Bagalkot,2020-05-31,7.879513677623537
Bagalkot,2020-06-07,27.44272093143728
Bagalkot,2020-06-14,28.56339833802647
Bagalkot,2020-06-21,17.575579623381298
Bagalkot,2020-06-28,49.2969585524665
Bagalkot,2020-07-05,12.757159585754076
Bagalkot,2020-07-12,27.64555096709066
Bagalkot,2020-07-19,45.42452573941814
Bagalkot,2020-07-26,56.10711928208669
Bagalkot,2020-08-02,28.89209083219369
Bagalkot,2020-08-09,28.191878580384785
Bagalkot,2020-08-16,28.067422588666282
Bagalkot,2020-08-23,29.295093964371418
Bagalkot,2020-08-30,3.502969115972519
Bagalkot,2020-09-06,31.435720796386402
Bagalkot,2020-09-13,58.823553919792175
Bagalkot,2020-09-20,31.459948692884712
Bagalkot,2020-09-27,86.4865480677949
Bagalkot,2020-10-04,35.787892158660625
Bagalkot,2020-10-11,59.72794323994054
Bagalkot,2020-10-18,84.65953266620636
Bagalkot,2020-10-25,26.67796421382162
Bagalkot,2020-11-01,0.09933138638734818
Bagalkot,2020-11-08,0.0
Bagalkot,2020-11-15,0.0
Bagalkot,2020-11-22,0.5159608067737685
Bagalkot,2020-11-29,3.653448777066337
Bagalkot,2020-12-06,0.5501529251535734
Bagalkot,2020-12-13,0.12189877033233643
Bagalkot,2020-12-20,0.0
Bagalkot,2020-12-27,0.0
Bagalkot,2021-01-03,0.0
Bagalkot,2021-01-10,3.1213092903296156
Bagalkot,2021-01-17,0.0
Bagalkot,2021-01-24,0.0
Bagalkot,2021-01-31,0.0
Bagalkot,2021-02-07,0.0
Bagalkot,2021-02-14,0.0
Bagalkot,2021-02-21,0.5952606730990939
Bagalkot,2021-02-28,1.5609569748242695
Bagalkot,2021-03-07,0.0
Bagalkot,2021-03-14,0.0
Bagalkot,2021-03-21,0.0
Bagalkot,2021-03-28,0.1307359238465627
Bagalkot,2021-04-04,0.0
Bagalkot,2021-04-11,3.995769108335177
Bagalkot,2021-04-18,8.111152034666803
Bagalkot,2021-04-25,3.534673208991687
Bagalkot,2021-05-02,3.574679970741272
Bagalkot,2021-05-09,22.217521510190434
Bagalkot,2021-05-16,10.19281893637445
Bagalkot,2021-05-23,9.373559888866213
Bagalkot,2021-05-30,8.3617406156328
Bagalkot,2021-06-06,68.07218984845612
Bagalkot,2021-06-13,4.123951913581954
Bagalkot,2021-06-20,26.55295635925399
Bagalkot,2021-06-27,17.57792751822207
Bagalkot,2021-07-04,7.566944963402218
Bagalkot,2021-07-11,35.803485901819336
Bagalkot,2021-07-18,31.57271411187119
Bagalkot,2021-07-25,41.212279933194324
Bagalkot,2021-08-01,4.166007253858778
Bagalkot,2021-08-08,4.341671917173597
Bagalkot,2021-08-15,6.788560509681702
Bagalkot,2021-08-22,23.311276007857586
Bagalkot,2021-08-29,50.19808054467042
Bagalkot,2021-09-05,13.453002964456877
Bagalkot,2021-09-12,26.930204347603848
Bagalkot,2021-09-19,3.0752368917067843
Bagalkot,2021-09-26,47.96819604022635
Bagalkot,2021-10-03,8.74232233232922
Bagalkot,2021-10-10,26.25908954607116
Bagalkot,2021-10-17,4.292287659313944
Bagalkot,2021-10-24,11.88372920619117
Bagalkot,2021-10-31,0.27864466110865277
Bagalkot,2021-11-07,0.24283461107148063
Bagalkot,2021-11-14,0.2608688655826781
Bagalkot,2021-11-21,49.72809140466981
Bagalkot,2021-11-28,14.99666589167383
Bagalkot,2021-12-05,19.156176182958816
Bagalkot,2021-12-12,0.0
Bagalkot,2021-12-19,0.0
Bagalkot,2021-12-26,0.0
Bagalkot,2022-01-02,0.0
Bagalkot,2022-01-09,0.0
Bagalkot,2022-01-16,0.0
Bagalkot,2022-01-23,0.0
Bagalkot,2022-01-30,0.0
Bagalkot,2022-02-06,0.0
Bagalkot,2022-02-13,0.0
Bagalkot,2022-02-20,0.0
Bagalkot,2022-02-27,0.0
Bagalkot,2022-03-06,0.0
Bagalkot,2022-03-13,0.0
Bagalkot,2022-03-20,2.8932300441794925
Bagalkot,2022-03-27,0.7204291654957666
Bagalkot,2022-04-03,0.31532420963048935
Bagalkot,2022-04-10,2.949000284075737
Bagalkot,2022-04-17,3.6119360079367953
Bagalkot,2022-04-24,10.695939968857498
Bagalkot,2022-05-01,5.288358530236616
Bagalkot,2022-05-08,2.464432289203008
Bagalkot,2022-05-15,27.17302306989829
Bagalkot,2022-05-22,100.58926715784602
Bagalkot,2022-05-29,0.0
Bagalkot,2022-06-05,16.68431768152449
Bagalkot,2022-06-12,33.64913911289639
Bagalkot,2022-06-19,11.154616155558163
Bagalkot,2022-06-26,10.034123477008608
Bagalkot,2022-07-03,13.90829563472006
Bagalkot,2022-07-10,41.0460624827279
Bagalkot,2022-07-17,20.965427551004623
Bagalkot,2022-07-24,13.203117860688103
Bagalkot,2022-07-31,50.253776014679005
Bagalkot,2022-08-07,69.36115335921447
Bagalkot,2022-08-14,13.091422017249796
Bagalkot,2022-08-21,5.963175223933326
Bagalkot,2022-08-28,25.411683970855343
Bagalkot,2022-09-04,29.609921592805122
Bagalkot,2022-09-11,118.10779157115354
Bagalkot,2022-09-18,10.590754173696041
Bagalkot,2022-09-25,1.3675893048445384
Bagalkot,2022-10-02,56.008235462837746
Bagalkot,2022-10-09,21.54179655843311
Bagalkot,2022-10-16,95.4732766714361
Bagalkot,2022-10-23,29.42570781211058
Bagalkot,2022-10-30,0.0
Bagalkot,2022-11-06,0.13636569844351876
Bagalkot,2022-11-13,0.0
Bagalkot,2022-11-20,0.0
Bagalkot,2022-11-27,0.0
Bagalkot,2022-12-04,0.0
Bagalkot,2022-12-11,0.4323234301474359
Bagalkot,2022-12-18,4.266815223627621
Bagalkot,2022-12-25,0.0
Bagalkot,2023-01-01,0.0
Bagalkot,2023-01-08,0.0
Bagalkot,2023-01-15,0.0
Bagalkot,2023-01-22,0.0
Bagalkot,2023-01-29,0.0
Bagalkot,2023-02-05,0.0
Bagalkot,2023-02-12,0.0
Bagalkot,2023-02-19,0.0
Bagalkot,2023-02-26,0.0
Bagalkot,2023-03-05,0.0
Bagalkot,2023-03-12,0.0
Bagalkot,2023-03-19,1.7238658897889156
Bagalkot,2023-03-26,0.0
Bagalkot,2023-04-02,0.0
Bagalkot,2023-04-09,11.248756131364239
Bagalkot,2023-04-16,1.042535834842258
Bagalkot,2023-04-23,0.7627866653104624
Bagalkot,2023-04-30,27.845732000139023
Bagalkot,2023-05-07,12.891827976538076
Bagalkot,2023-05-14,19.650858770228094
Bagalkot,2023-05-21,0.0
Bagalkot,2023-05-28,3.99819866898987
Bagalkot,2023-06-04,13.372615251483188
Bagalkot,2023-06-11,2.5062974399059184
Bagalkot,2023-06-18,0.29165370017290115
Bagalkot,2023-06-25,8.602021998829311
Bagalkot,2023-07-02,7.224411648749891
Bagalkot,2023-07-09,16.43752566890584
Bagalkot,2023-07-16,5.434696575833691
Bagalkot,2023-07-23,42.461092323064804
Bagalkot,2023-07-30,48.49302274361253
Bagalkot,2023-08-06,2.6025029194489533
Bagalkot,2023-08-13,5.291485411321951
Bagalkot,2023-08-20,1.3190131466835737
Bagalkot,2023-08-27,10.128805506043136
Bagalkot,2023-09-03,31.6218720972538
Bagalkot,2023-09-10,33.28849067290624
Bagalkot,2023-09-17,1.559037894838386
Bagalkot,2023-09-24,24.10521109184871
Bagalkot,2023-10-01,11.504448095957438
Bagalkot,2023-10-08,3.862770455372002
Bagalkot,2023-10-15,0.1346094146784809
Bagalkot,2023-10-22,0.0
Bagalkot,2023-10-29,0.0
Bagalkot,2023-11-05,0.0
Bagalkot,2023-11-12,18.349602335443098
Bagalkot,2023-11-19,0.0
Bagalkot,2023-11-26,0.0
Bagalkot,2023-12-03,7.8360341389973955
