district,week_start,week_end_sunday,iso_year,iso_week,imd_rain_mm,week_start_imd,nasa_prectotcorr,T2M_MAX,T2M_MIN,T2M,RH2M
Bagalkot,2015-12-14,2015-12-20,2015,51,0.0,2015-12-21,0.27,34.32714285714285,19.388571428571428,26.535714285714285,51.98285714285714
Bagalkot,2015-12-21,2015-12-27,2015,52,0.0,2015-12-28,0.0,34.67714285714286,19.15571428571429,26.46142857142857,44.29857142857143
Bagalkot,2015-12-28,2016-01-03,2015,53,0.0,2016-01-04,0.0,31.97571428571428,14.95142857142857,22.724285714285717,35.74285714285714
Bagalkot,2016-01-04,2016-01-10,2016,1,0.0,2016-01-11,0.0,32.81142857142857,14.237142857142857,22.74428571428572,43.36857142857143
Bagalkot,2016-01-11,2016-01-17,2016,2,0.0,2016-01-18,0.0,31.12,14.64857142857143,22.314285714285717,42.00857142857143
Bagalkot,2016-01-18,2016-01-24,2016,3,0.214937483270963,2016-01-25,0.0,31.53,15.877142857142855,23.44142857142857,45.962857142857146
Bagalkot,2016-01-25,2016-01-31,2016,4,0.0,2016-02-01,0.48,30.84142857142857,17.965714285714288,24.068571428571428,48.55285714285714
Bagalkot,2016-02-01,2016-02-07,2016,5,0.0,2016-02-08,0.0,35.03,16.79,25.382857142857144,28.974285714285717
Bagalkot,2016-02-08,2016-02-14,2016,6,0.0,2016-02-15,0.0,35.30142857142857,17.56,25.987142857142857,33.31285714285714
Bagalkot,2016-02-15,2016-02-21,2016,7,0.0,2016-02-22,0.0,35.09285714285714,19.27,27.07857142857143,41.61857142857143
Bagalkot,2016-02-22,2016-02-28,2016,8,0.0,2016-02-29,0.0,36.62857142857143,19.87142857142857,28.062857142857144,36.457142857142856
Bagalkot,2016-02-29,2016-03-06,2016,9,1.903566363785002,2016-03-07,0.01,37.44857142857143,22.53428571428572,29.832857142857144,35.050000000000004
Bagalkot,2016-03-07,2016-03-13,2016,10,0.0,2016-03-14,0.8,36.29714285714286,23.16142857142857,29.53142857142857,34.818571428571424
Bagalkot,2016-03-14,2016-03-20,2016,11,0.0,2016-03-21,0.0,38.31714285714286,22.63,30.294285714285717,30.8
Bagalkot,2016-03-21,2016-03-27,2016,12,0.0,2016-03-28,0.0,39.455714285714286,20.955714285714286,30.108571428571427,30.487142857142857
Bagalkot,2016-03-28,2016-04-03,2016,13,0.0,2016-04-04,1.7399999999999998,40.41,22.29,31.434285714285718,29.85571428571429
Bagalkot,2016-04-04,2016-04-10,2016,14,14.916774613989723,2016-04-11,2.54,40.32714285714286,23.824285714285715,32.11,33.871428571428574
Bagalkot,2016-04-11,2016-04-17,2016,15,0.0,2016-04-18,11.85,39.63,24.835714285714285,32.14,39.512857142857136
Bagalkot,2016-04-18,2016-04-24,2016,16,0.0,2016-04-25,0.11,41.58857142857143,24.25142857142857,32.94428571428572,32.93
Bagalkot,2016-04-25,2016-05-01,2016,17,2.3946473681264453,2016-05-02,0.16,41.77571428571429,24.43142857142857,32.925714285714285,35.02142857142857
Bagalkot,2016-05-02,2016-05-08,2016,18,1.6162780076265335,2016-05-09,7.79,41.09,24.865714285714287,32.89142857142857,37.777142857142856
Bagalkot,2016-05-09,2016-05-15,2016,19,7.608292285766867,2016-05-16,2.2,40.18,24.20142857142857,32.39714285714286,35.23857142857143
